rank,wallet,token_balance,token_balance_formatted,share_parts,share_pct,aapl_amount,aapl_amount_formatted,tx_hash,status
1,0x5B5D906893beceBC3DE71215F8E9B5934F018055,11466294492715483052222950,11466294.49271548305222295,20,9.5238,4761914,0.04761914,0x38042b5372f79450720a55f639fbd385899dfeb96574184d97016c16800a896d,sent
2,0xF703FD64093B50797aBDc9E450632240FA2bA5D4,10850694483771739698807887,10850694.483771739698807887,19,9.0476,4523809,0.04523809,0xe850e08612c57dc971ec1a8d3e796d292fcc6cfd6a99de629723e9c2a8f9d0c0,sent
3,0xa502E456A3d8fA7311ed365eBD1D7DaD2584a1c8,10000000000000000000369305,10000000.000000000000369305,18,8.5714,4285714,0.04285714,0x76359c7d8051fb0dc4d7a995f05ccaf09da6d7978dee098c702c17f9eb503ab7,sent
4,0xa122C3eF0Ced83BE89922D99E8DdE8f4E272EACA,8918069895906973710695649,8918069.895906973710695649,17,8.0952,4047619,0.04047619,0xec33aee2850e7ffbd631a926b3d881c85e79e69f3f39e9691376b0f4ff4687e3,sent
5,0xEDb34ACd835B57F41A54B84dd5a0A95001128eab,8660927828981715865555455,8660927.828981715865555455,16,7.6190,3809523,0.03809523,0x2ca6e4125af8dd351773c2676f81aaa254a24d45094801ba621dc837a9337f71,sent
6,0x67dF1d22c03Ce81DCd7c50a65d476B17F4934fd4,7256854540066961518227365,7256854.540066961518227365,15,7.1429,3571428,0.03571428,0x7bf9f152d375a290b5d9189ebdcc042ed21947144636939eec365c34627fb093,sent
7,0xD2aaF7380310721Cc48bFFE41bf821a67f64561c,7019399108824009667444856,7019399.108824009667444856,14,6.6667,3333333,0.03333333,0x505b94a8ad2464abdc418b11012286e4076db4ae2bb37d216d29cfe0cb3398c7,sent
8,0x62C4B716ae1C7C6d4Af61A0a46858D883374D222,5339007606113331698931288,5339007.606113331698931288,13,6.1905,3095238,0.03095238,0x72374b27f06bf1dfb65b0952cd397e389a58f7f6f1e79de4ff73e1a0b38196d4,sent
9,0x3403Bd6c7cF36424f9365e6f77E9cec3fe593Dd7,4891191479511998609418125,4891191.479511998609418125,12,5.7143,2857142,0.02857142,0x26c9847dbb4db7521292fab4f4d87507741c5cf0a5385d0c9ac9015146c8e0fa,sent
10,0x105778eAE2172309f5Fbe99888a9aB4eD8ecbbaf,4754607392206268536083107,4754607.392206268536083107,11,5.2381,2619047,0.02619047,0xdb732276c8ca6175e956626995d9a821e127d5b9c8cc6d51b51e15a15fef5c35,sent
11,0x9f613B441535AaEf5e20E8908F33CC5173849E08,4709930334311643479262431,4709930.334311643479262431,10,4.7619,2380952,0.02380952,0x42da2ccfcc58da8a260db948d4c0a369d61d253bb4d6f60aedba71cfce807e3f,sent
12,0x34EC594bB6Ef731074CFc75C4FDfbE1B689ed961,4044183157570631225827887,4044183.157570631225827887,9,4.2857,2142857,0.02142857,0x204a2b460c0c8d52f92a7bc17cc6044bddf06a3249336146fbbf5869672c5654,sent
13,0x60E2809A42790565F58557bF114D85157Da41602,3525093619270382560295594,3525093.619270382560295594,8,3.8095,1904761,0.01904761,0xd2ad34d24c345766ba96f871bd358a649a0cf8fc9eb4a04b4b26fc90de23294e,sent
14,0x654022208D13C70A91fAa424E0B74a8de88d36e6,3325091860430440699517354,3325091.860430440699517354,7,3.3333,1666666,0.01666666,0x2a330473ffacb4677556af5d3cfd9f70b419a14582a08fc12b46395d55c2ce7d,sent
15,0x54297E57a78Fc2D68B7734fB21ec2a1c29cc8806,3149874341848894050229513,3149874.341848894050229513,6,2.8571,1428571,0.01428571,0x2a2969b31a5c2690fef46ea16a9bb420f9d29830ae68210ffe9336194d671fa6,sent
16,0x4640d21951F15F3492d2f0b7292665508ee2AEA1,3147602186742398575241702,3147602.186742398575241702,5,2.3810,1190476,0.01190476,0x56170f81da14456a683a48870c59e4133d16dc15c055bf708ca443939f714d37,sent
17,0xF38F9726eD65DD3bDc2994a92BeFb58bF3B915f3,3027563312074904653750590,3027563.31207490465375059,4,1.9048,952380,0.0095238,0x7d799526cf164368cc33d30a10afcbed1b926e54f251266a4967aca06f932439,sent
18,0x9aE452E5bD703f0fe1aFc79776137b38024d4F2e,3000000000000000000917942,3000000.000000000000917942,3,1.4286,714285,0.00714285,0xb386b2447654997478bfefb0b8c85ea5e93255aa55faa237ac92a89f3cbaa2b5,sent
19,0x7dD444Bd0f1a04bfC26838fbB1f9315C503D1177,2949619270557186588374674,2949619.270557186588374674,2,0.9524,476190,0.0047619,0x9ed43b26c0e16a9525d9f18587af410f130204c7b666a2a87df911e85ed25bdd,sent
20,0x906b6857cbe2C8B57C7085Af48fF3Df638139789,2930899722786736163537115,2930899.722786736163537115,1,0.4762,238095,0.00238095,0xf96f9d6dc993ce2bf6b157f27ef9dcbb82945411d4ed5887017f34375c96df79,sent
